File Name	Hash Value	File Size (on Disk)
PGR Coworking.odt	A2482C264D4AF7CB3B08063D07210485E9B5D5EF	2157487 bytes (2,06 MiB)
PGR Coworking.pdf	EE8F6714E4DB42D16355A365BDE02C35CF17C46E	1523323 bytes (1,45 MiB)
A1 Tabla de Residuos.ods	BA7CB61CE139F48C2396F6877702EB1BCE5DC03E	12741 bytes (12,44 KiB)
A1 Tabla de Residuos.pdf	6F418828763A5D8C7566865EE8B297BE9BF1051B	25552 bytes (24,95 KiB)
A10 Señalizacion resto.pdf	642C1AB3C869383842E7E5BB57C33873F5993A39	238878 bytes (233,28 KiB)
A2 Ejemplo de tabla de Residuos completada.ods	BC1498C5BAD7672274FE8EA62C32992CAD10B86C	18934 bytes (18,49 KiB)
A2 Ejemplo de tabla de Residuos completada.pdf	296B5C9FB7DB9189F533CFD391EB57953D63B964	32040 bytes (31,29 KiB)
A3 Tabla de Acciones.ods	A759F4BB59351D871617D0857CAFD7BA58CA8AA2	11651 bytes (11,38 KiB)
A3 Tabla de Acciones.pdf	1BB05978CA5EA38D0518FE82B982348C38E27344	25034 bytes (24,45 KiB)
A4 Ejemplo de tabla de Acciones.ods	6E3FFFD91DA908B3D6C6493D6F850D30B6F33A51	18070 bytes (17,65 KiB)
A4 Ejemplo de tabla de Acciones.pdf	9862FA784AC32BBC4FC7F3C1F368EC9CDFBD6B73	30938 bytes (30,21 KiB)
A5 Tabla de medición de residuos generados.ods	7354061029DB1F894475F17BFD21C5450B5875F1	13823 bytes (13,5 KiB)
A6 Ejemplo de tabla de medición de residuos generados.pdf	E8145BE80FCE28C35DA835996F3D56FD0A3C103E	40607 bytes (39,66 KiB)
A7 Info PGR Plano.pdf	7F63C9D19DBE1D3199745561AA59746355BCEDBC	486099 bytes (474,71 KiB)
A8 Señalizacion papel.pdf	ACADB0BED74C0E7D0EA722E0A77DE09DC53DB9A6	240070 bytes (234,44 KiB)
A9 Señalizacion plástico.pdf	5B5692604505B8959E6AEBDAB2B57385DF328208	244060 bytes (238,34 KiB)

Calculado con QuickHash https://www.quickhash-gui.org



